year,file,page,tables_on_page,table_rows_estimate,detected_type
2016,Water_Ground_Water_2016.pdf,47,47,1187,Groundwater
2016,Water_Minor_River_2016.pdf,30,30,529,River
2016,Water_Quality_data_of_River_2016.pdf,70,70,1308,River
2016,Water_canals_2016.pdf,19,19,368,Canal
2016,Water_karnataka_2016.pdf,2,2,31,River
2016,Water_pond_tanks_2016.pdf,44,44,902,Pond/Tank
2017,Water_Ground_Water_2017.pdf,46,67,1108,Groundwater
2017,Water_Quality_Canals_Sea_Water_Drains_STPs_2017.pdf,10,30,379,Canal
2017,Water_Quality_Rivers_2017.pdf,81,90,2424,River
2017,Water_Quality_data_of_River_2017.pdf,12,24,533,River
2017,Water_pond_tanks_2017.pdf,20,195,881,Pond/Tank
2018,NWMP_DATA_2018.pdf,56,62,1453,Groundwater
2018,WQuality-Canals-Creek-Marine-SeaWater-Drains-STPs-2018.pdf,15,16,201,Coastal
2018,WQuality_River-Data-2018.pdf,103,1150,5429,River
2018,Water_Quality_data_of_River_2018.pdf,24,227,905,River
2018,Water_pond_tanks_2018.pdf,27,43,802,Pond/Tank
2019,NWMP_DATA_2019.pdf,78,78,1176,Groundwater
2019,WQuality_River-Data-2019.pdf,66,82,1445,River
2019,Water_Quality_Canals_Sea_Water_Drains_STPs_2019.pdf,19,19,263,River
2019,Water_Quality_data_of_River_2019.pdf,19,19,424,River
2019,Water_pond_tanks_2019.pdf,40,40,572,Pond/Tank
2020,NWMP_DATA_2020.pdf,76,639,2465,Groundwater
2020,WQuality_River-Data-2020.pdf,56,65,4029,River
2020,Water_Quality_Canals_2020.pdf,4,28,123,Canal
2020,Water_Quality_Drains_STPs__WTPs_2020.pdf,7,18,143,River
2020,Water_Quality_data_of_River_2020.pdf,20,120,733,River
2020,Water_creek_marine_seawater_beach_2020.pdf,2,18,72,Coastal
2020,Water_pond_tanks_2020.pdf,29,174,1046,Pond/Tank
2021,NWMP_DATA_2021.pdf,70,69,1298,Groundwater
2021,WQuality_River-Data-2021.pdf,127,1301,5424,River
2021,Water_Quality_Canals_2021.pdf,4,32,132,Canal
2021,Water_Quality_Drains_STPs__WTPs_2021.pdf,12,93,345,River
2021,Water_Quality_data_of_River_2021.pdf,16,144,627,River
2021,Water_creek_marine_seawater_beach_2021.pdf,7,63,288,Coastal
2021,Water_pond_tanks_2021.pdf,32,192,1068,Pond/Tank
2022,NWMP_DATA_2022.pdf,70,552,2518,Groundwater
2022,WQuality_River-Data-2022.pdf,161,171,3418,River
2022,Water_Quality_Drains_STPs__WTPs_2022.pdf,14,83,399,Drain/STP/WTP
2022,Water_Quality_data_of_Med_Min_River_2022.pdf,29,203,833,River
2022,Water_creek_marine_seawater_beach_2022.pdf,9,72,357,River
2022,Water_pond_tanks_2022.pdf,55,678,2958,Pond/Tank
2023,WQuality_River-Data-2023.pdf,82,101,2448,River
2023,Water_Quality_Canals_2023.pdf,5,40,150,Canal
2023,Water_Quality_Drains_STPs__WTPs_2023.pdf,14,112,403,Drain/STP/WTP
2023,Water_Quality_data_of_Med_Min_River_2023.pdf,22,29,1042,River
2023,Water_creek_marine_seawater_beach_2023.pdf,16,112,498,River
2023,Water_pond_tanks_2023.pdf,43,58,1577,Pond/Tank
2024,NWMP_DATA_2024.pdf,63,88,1399,Groundwater
2024,WQuality_River-Data-2024 - Copy.pdf,115,133,5026,River
2024,WQuality_River-Data-2024.pdf,115,133,5026,River
2024,Water_Quality_Canals_2024.pdf,5,17,106,Canal
2024,Water_Quality_Drains_STPs__WTPs_2024 - Copy.pdf,8,21,187,River
2024,Water_Quality_Drains_STPs__WTPs_2024.pdf,8,21,187,River
2024,Water_Quality_data_of_Med_Min_River_2024 - Copy.pdf,10,10,384,River
2024,Water_Quality_data_of_Med_Min_River_2024.pdf,10,10,384,River
2024,Water_creek_marine_seawater_beach_2024.pdf,11,19,289,River
2024,Water_pond_tanks_2024.pdf,38,38,869,Pond/Tank
