file,pages_searched,ph_min,ph_max,do,bod,nitrate,fecal_coliform,error
ml\data\raw\2016\Water_canals_2016.pdf,19,,,,,,,
ml\data\raw\2016\Water_Ground_Water_2016.pdf,47,100.0,100.0,20.0,,,,
ml\data\raw\2016\Water_karnataka_2016.pdf,2,,,,,,,
ml\data\raw\2016\Water_Minor_River_2016.pdf,30,100.0,100.0,14.0,,,,
ml\data\raw\2016\Water_pond_tanks_2016.pdf,44,,,,,,,
ml\data\raw\2016\Water_Quality_data_of_River_2016.pdf,70,,,,,,,
ml\data\raw\2017\Water_Ground_Water_2017.pdf,46,,,22.0,,,,
ml\data\raw\2017\Water_pond_tanks_2017.pdf,20,,,,,,,
ml\data\raw\2017\Water_Quality_Canals_Sea_Water_Drains_STPs_2017.pdf,10,,,2267.0,100.0,,,
ml\data\raw\2017\Water_Quality_data_of_River_2017.pdf,12,,,,,,,
ml\data\raw\2017\Water_Quality_Rivers_2017.pdf,81,100.0,100.0,,,100.0,,
ml\data\raw\2018\NWMP_DATA_2018.pdf,56,,,2243.0,,,,
ml\data\raw\2018\Water_pond_tanks_2018.pdf,27,,,,,,,
ml\data\raw\2018\Water_Quality_data_of_River_2018.pdf,24,,,,,,,
ml\data\raw\2018\WQuality-Canals-Creek-Marine-SeaWater-Drains-STPs-2018.pdf,15,,,25.3,,,,
ml\data\raw\2018\WQuality_River-Data-2018.pdf,103,0.0,0.0,,,0.0,,
ml\data\raw\2019\NWMP_DATA_2019.pdf,78,,,2243.0,,,,
ml\data\raw\2019\Water_pond_tanks_2019.pdf,40,,,,100.0,,,
ml\data\raw\2019\Water_Quality_Canals_Sea_Water_Drains_STPs_2019.pdf,19,,,2267.0,,,,
ml\data\raw\2019\Water_Quality_data_of_River_2019.pdf,19,,,,100.0,,,
ml\data\raw\2019\WQuality_River-Data-2019.pdf,66,0.0,0.0,,,,,
ml\data\raw\2020\NWMP_DATA_2020.pdf,76,,,3479.0,1.0,0.3,,
ml\data\raw\2020\Water_creek_marine_seawater_beach_2020.pdf,2,,,23.0,1.0,0.3,,
ml\data\raw\2020\Water_pond_tanks_2020.pdf,29,,,,,,,
ml\data\raw\2020\Water_Quality_Canals_2020.pdf,4,,,,1.0,0.3,,
ml\data\raw\2020\Water_Quality_data_of_River_2020.pdf,20,2.0,2.0,0.0,1.0,0.32,100.0,
ml\data\raw\2020\Water_Quality_Drains_STPs__WTPs_2020.pdf,7,,,0.3,1.0,0.3,1.8,
ml\data\raw\2020\WQuality_River-Data-2020.pdf,56,0.0,0.0,0.3,1.0,0.3,,
ml\data\raw\2021\NWMP_DATA_2021.pdf,70,2.0,2.0,2243.0,1.0,0.32,100.0,
ml\data\raw\2021\Water_creek_marine_seawater_beach_2021.pdf,7,,,21.0,1.0,0.3,1.8,
ml\data\raw\2021\Water_pond_tanks_2021.pdf,32,,,,,,,
ml\data\raw\2021\Water_Quality_Canals_2021.pdf,4,,,,1.0,0.3,,
ml\data\raw\2021\Water_Quality_data_of_River_2021.pdf,16,,,,,,,
ml\data\raw\2021\Water_Quality_Drains_STPs__WTPs_2021.pdf,12,,,,,,,
ml\data\raw\2021\WQuality_River-Data-2021.pdf,127,,,3374.0,1.0,0.3,,
ml\data\raw\2022\NWMP_DATA_2022.pdf,70,2.0,2.0,2243.0,1.0,0.32,100.0,
ml\data\raw\2022\Water_creek_marine_seawater_beach_2022.pdf,9,,,2267.0,,,2.0,
ml\data\raw\2022\Water_pond_tanks_2022.pdf,55,,,,,,2.0,
ml\data\raw\2022\Water_Quality_data_of_Med_Min_River_2022.pdf,29,,,,,,2.0,
ml\data\raw\2022\Water_Quality_Drains_STPs__WTPs_2022.pdf,14,,,,,,2.0,
ml\data\raw\2022\WQuality_River-Data-2022.pdf,161,,,3374.0,,,,
ml\data\raw\2023\Water_creek_marine_seawater_beach_2023.pdf,16,,,27.0,,,,
ml\data\raw\2023\Water_pond_tanks_2023.pdf,43,100.0,100.0,,,,,
ml\data\raw\2023\Water_Quality_Canals_2023.pdf,5,,,,,,,
ml\data\raw\2023\Water_Quality_data_of_Med_Min_River_2023.pdf,22,100.0,100.0,,100.0,,,
ml\data\raw\2023\Water_Quality_Drains_STPs__WTPs_2023.pdf,14,,,,,,,
ml\data\raw\2023\WQuality_River-Data-2023.pdf,82,100.0,100.0,14.6,,,,
ml\data\raw\2024\NWMP_DATA_2024.pdf,63,,,2243.0,,,,
ml\data\raw\2024\Water_creek_marine_seawater_beach_2024.pdf,11,,,2267.0,,,,
ml\data\raw\2024\Water_pond_tanks_2024.pdf,38,,,,100.0,,2.0,
ml\data\raw\2024\Water_Quality_Canals_2024.pdf,5,,,,,,,
ml\data\raw\2024\Water_Quality_data_of_Med_Min_River_2024 - Copy.pdf,10,,,,,,,
ml\data\raw\2024\Water_Quality_data_of_Med_Min_River_2024.pdf,10,,,,,,,
ml\data\raw\2024\Water_Quality_Drains_STPs__WTPs_2024 - Copy.pdf,8,,,,,,2.0,
ml\data\raw\2024\Water_Quality_Drains_STPs__WTPs_2024.pdf,8,,,,,,2.0,
ml\data\raw\2024\WQuality_River-Data-2024 - Copy.pdf,115,,,15.0,100.0,,,
ml\data\raw\2024\WQuality_River-Data-2024.pdf,115,,,15.0,100.0,,,
